                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.81236,                0.58298,                0.96336,                0.79648,                0.82595,                 0.8724,                0.68311,                0.77831,                0.52105,                 0.9358,               0.004258,               0.004258,               0.004258
                     60,                0.80533,                0.57702,                0.96347,                0.79614,                0.82643,                 0.8726,                0.68335,                0.77724,                0.52032,                0.93543,               0.004159,               0.004159,               0.004159
                     61,                 0.8049,                0.57495,                0.96318,                0.79845,                 0.8245,                0.87281,                0.68401,                0.77642,                0.51915,                0.93506,                0.00406,                0.00406,                0.00406
                     62,                0.80302,                0.57269,                 0.9619,                0.79827,                  0.825,                0.87289,                0.68414,                0.77542,                0.51859,                0.93489,               0.003961,               0.003961,               0.003961
                     63,                0.79611,                0.56588,                0.95832,                0.80072,                0.82372,                0.87295,                0.68441,                0.77476,                0.51775,                 0.9346,               0.003862,               0.003862,               0.003862
                     64,                0.79881,                 0.5637,                0.95942,                0.80219,                0.82326,                0.87313,                0.68501,                0.77395,                0.51702,                0.93422,               0.003763,               0.003763,               0.003763
                     65,                 0.7905,                 0.5659,                0.95719,                 0.8022,                0.82331,                0.87326,                0.68528,                 0.7731,                0.51589,                0.93382,               0.003664,               0.003664,               0.003664
                     66,                0.78962,                0.55754,                0.95557,                0.80197,                0.82383,                0.87338,                 0.6856,                0.77226,                0.51507,                0.93349,               0.003565,               0.003565,               0.003565
                     67,                0.78605,                0.55616,                0.95365,                0.80225,                0.82378,                0.87362,                0.68605,                0.77146,                0.51421,                 0.9331,               0.003466,               0.003466,               0.003466
                     68,                0.78307,                0.55149,                 0.9521,                0.80465,                0.82195,                0.87398,                 0.6864,                0.77042,                0.51335,                0.93254,               0.003367,               0.003367,               0.003367
                     69,                0.77949,                0.55008,                0.95264,                0.79924,                0.82649,                0.87403,                0.68685,                0.76965,                0.51252,                0.93223,               0.003268,               0.003268,               0.003268
                     70,                0.77256,                0.54532,                0.94876,                0.79782,                0.82776,                0.87435,                0.68741,                0.76859,                 0.5115,                0.93179,               0.003169,               0.003169,               0.003169
                     71,                0.77331,                0.54415,                0.94957,                0.79882,                 0.8275,                0.87455,                0.68772,                 0.7678,                0.51034,                0.93136,                0.00307,                0.00307,                0.00307
                     72,                0.76798,                0.53468,                0.94733,                 0.7968,                0.82907,                0.87468,                0.68798,                0.76699,                0.50947,                0.93089,               0.002971,               0.002971,               0.002971
                     73,                0.76681,                0.53957,                0.94788,                 0.7983,                0.82881,                 0.8749,                0.68841,                0.76608,                0.50872,                0.93047,               0.002872,               0.002872,               0.002872
                     74,                0.76526,                0.53889,                0.94561,                0.79905,                0.82803,                0.87519,                0.68901,                0.76531,                0.50782,                 0.9301,               0.002773,               0.002773,               0.002773
                     75,                0.76487,                0.53802,                 0.9459,                0.79698,                0.83161,                0.87524,                0.68917,                0.76431,                0.50718,                0.92958,               0.002674,               0.002674,               0.002674
                     76,                0.76329,                0.53715,                 0.9461,                 0.8009,                0.82824,                0.87529,                0.68953,                0.76337,                0.50658,                0.92909,               0.002575,               0.002575,               0.002575
                     77,                0.76703,                0.53758,                0.94688,                0.79851,                0.83094,                0.87547,                0.69006,                0.76254,                0.50581,                 0.9288,               0.002476,               0.002476,               0.002476
                     78,                0.75603,                0.53124,                0.94257,                0.80064,                0.82971,                0.87571,                0.69056,                0.76151,                0.50488,                0.92829,               0.002377,               0.002377,               0.002377
                     79,                0.75279,                0.52282,                0.94008,                0.79921,                0.83159,                0.87575,                0.69108,                 0.7605,                0.50369,                0.92765,               0.002278,               0.002278,               0.002278
                     80,                0.75246,                0.52491,                0.94073,                0.80096,                0.83139,                0.87601,                0.69172,                 0.7598,                0.50291,                0.92718,               0.002179,               0.002179,               0.002179
                     81,                0.74746,                0.51973,                0.93875,                0.80158,                0.83207,                0.87632,                 0.6924,                0.75892,                0.50209,                0.92666,                0.00208,                0.00208,                0.00208
                     82,                0.74268,                 0.5179,                0.93432,                0.80104,                0.83221,                0.87638,                0.69269,                0.75787,                0.50136,                0.92608,               0.001981,               0.001981,               0.001981
                     83,                0.73774,                0.51433,                0.93545,                0.80188,                0.83236,                0.87647,                0.69335,                0.75687,                 0.5004,                0.92548,               0.001882,               0.001882,               0.001882
                     84,                0.73668,                0.50824,                0.93542,                0.80198,                0.83198,                0.87668,                 0.6942,                0.75587,                 0.4994,                0.92486,               0.001783,               0.001783,               0.001783
                     85,                0.73102,                 0.5051,                0.93271,                0.80219,                0.83237,                0.87687,                0.69451,                0.75495,                0.49868,                0.92445,               0.001684,               0.001684,               0.001684
                     86,                0.72926,                0.50459,                0.93305,                  0.798,                0.83541,                 0.8769,                 0.6949,                0.75393,                0.49769,                 0.9239,               0.001585,               0.001585,               0.001585
                     87,                0.72697,                0.50038,                0.93092,                0.79852,                0.83554,                0.87711,                0.69517,                0.75288,                 0.4966,                0.92335,               0.001486,               0.001486,               0.001486
                     88,                0.72491,                0.49575,                0.93143,                0.79999,                0.83508,                0.87721,                0.69583,                0.75167,                0.49565,                0.92287,               0.001387,               0.001387,               0.001387
                     89,                0.71762,                0.49193,                0.92923,                0.80076,                0.83516,                0.87747,                0.69645,                0.75075,                 0.4948,                0.92253,               0.001288,               0.001288,               0.001288
                     90,                0.71233,                0.48933,                0.92744,                0.80079,                0.83513,                0.87773,                0.69692,                0.74966,                0.49381,                0.92197,               0.001189,               0.001189,               0.001189
                     91,                0.68522,                0.44804,                0.90158,                0.80203,                0.83492,                0.87786,                0.69715,                0.74866,                0.49303,                 0.9215,                0.00109,                0.00109,                0.00109
                     92,                0.67652,                0.44095,                0.89774,                0.80274,                0.83515,                0.87811,                0.69763,                0.74782,                0.49224,                0.92111,               0.000991,               0.000991,               0.000991
                     93,                 0.6714,                 0.4326,                0.89749,                 0.8006,                0.83727,                0.87825,                0.69789,                0.74673,                0.49141,                 0.9206,               0.000892,               0.000892,               0.000892
                     94,                0.66529,                0.42905,                0.89539,                 0.8009,                 0.8372,                0.87841,                0.69862,                0.74563,                0.49036,                0.92018,               0.000793,               0.000793,               0.000793
                     95,                0.66137,                0.42707,                0.89339,                0.80066,                0.83771,                0.87875,                0.69938,                0.74454,                0.48921,                0.91979,               0.000694,               0.000694,               0.000694
                     96,                0.65561,                0.42318,                0.89204,                0.80171,                0.83848,                0.87906,                0.69984,                0.74337,                0.48834,                0.91938,               0.000595,               0.000595,               0.000595
                     97,                0.64998,                0.41856,                0.88885,                0.80183,                0.83886,                0.87942,                0.70043,                0.74235,                0.48738,                 0.9189,               0.000496,               0.000496,               0.000496
                     98,                0.64316,                 0.4115,                0.88526,                0.80009,                0.84098,                0.87959,                0.70104,                0.74132,                0.48692,                0.91837,               0.000397,               0.000397,               0.000397
                     99,                0.64077,                0.41115,                0.88482,                0.80149,                 0.8398,                0.87972,                0.70154,                0.74015,                 0.4862,                0.91782,               0.000298,               0.000298,               0.000298
                    100,                0.63818,                0.40689,                0.88584,                0.80165,                0.83981,                0.87989,                0.70185,                0.73917,                0.48552,                0.91738,               0.000199,               0.000199,               0.000199
